id,name,x,y,pitch,heading,height,fov,annotations,country,direction
4,27ONVS6hxS.jpg,-73.9778219771338,40.7838424025934,0,119,,120,3,us,29.4051418304443
71,eoEef7IIqw.jpg,-73.9735267042138,40.7921459925723,0,118,,120,3,us,28.3687877655029
281,1Af5Cf34W2.jpg,-73.9737739349365,40.7844006915427,0,298,,120,3,us,208.07633972168
228,hJCVCb0hJQ.jpg,-73.9645441080947,40.8074321979287,0,341,,120,3,us,251.800384521484
509,RWdbht4tu1.jpg,16.335463384484,48.2147340192327,0,351,,120,3,at,261.412170410156
23,SONMHfAAdW.jpg,-73.9757402444363,40.7867444934903,0,119,,120,3,us,29.3231525421143
489,u6A0ZiZRSU.jpg,16.3370962230994,48.2149225939022,0,349,,120,3,at,259.171020507812
253,D2u3LL8eSf.jpg,-73.9711477636441,40.7878873002605,0,299,,120,3,us,209.019973754883
50,QeZBxU7kFr.jpg,-73.9742681701206,40.7911408548131,0,117,,120,4,us,27.7164134979248
363,VgIe225L1o.jpg,16.3298774779155,48.213913462213,0,162,,120,4,at,72.7108306884766
352,StGyUuRgQ7.jpg,16.3283838758697,48.213647809428,0,164,,120,4,at,74.5348129272461
85,OfaJ3xM4T8.jpg,-73.9728248071056,40.7933617864743,0,120,,120,4,us,30.7924499511719
490,sbgkUVBDpK.jpg,16.3369603125285,48.2149041654898,0,350,,120,4,at,260.008392333984
485,J9wf32RAh6.jpg,16.3373529626414,48.2149576100191,0,349,,120,3,at,259.531677246094
13,L5RWSaeITq.jpg,-73.976769224265,40.7852771414945,0,118,,120,4,us,28.4378337860107
19,GXuwyziEd2.jpg,-73.9764773920129,40.7858007353905,0,118,,120,4,us,28.7437305450439
32,138omCsXy6.jpg,-73.9752571926469,40.7874135071188,0,119,,120,4,us,29.4549102783203
360,4LsVuIHEiM.jpg,16.3294993496766,48.2138415125979,0,166,,120,4,at,76.3368072509766
403,t1chFYaBsW.jpg,16.333046751531,48.2144097934968,0,362,,120,4,at,272.328186035156
382,KOnmQkTLZ5.jpg,16.3311371764692,48.2141715794965,0,345,,120,4,at,255.632705688477
140,H3i9505J6C.jpg,-73.970668685244,40.7960649079881,0,119,,120,4,us,29.3076438903809
504,l5CDlaK6e2.jpg,16.335734569064,48.2147556574772,0,355,,120,4,at,265.379150390625
349,jSiJQKb93i.jpg,16.3281431365124,48.2136049197393,0,169,,120,4,at,79.3853149414062
260,LWc6tu43eM.jpg,-73.9717183492752,40.7871667225266,0,299,,120,4,us,209.71891784668
62,fGVFEa3OCT.jpg,-73.9737570736675,40.7918333398829,0,118,,120,4,us,28.3820037841797
